,FB,MSFT,AMZN,GOOG,TSLA,AAPL
FB,1.0,0.8822722949619252,0.9112635888681379,0.9691296985642064,0.7458904775868984,0.874083665566004
MSFT,0.8822722949619252,1.0,0.967355480956087,0.9430331919499297,0.792126582582829,0.9678693478249298
AMZN,0.9112635888681379,0.967355480956087,1.0,0.9610788478435296,0.7346978314615662,0.9291729175791633
GOOG,0.9691296985642064,0.9430331919499297,0.9610788478435296,1.0,0.7658083074933123,0.9183875925816234
TSLA,0.7458904775868984,0.792126582582829,0.7346978314615662,0.7658083074933123,1.0,0.8297427696842257
AAPL,0.874083665566004,0.9678693478249298,0.9291729175791633,0.9183875925816234,0.8297427696842257,1.0
